InTheaters,,,,,,,,
 Title,TMS Number,No Images SH,,Category,Hopper 3,GN,MV,RMS/STB
From Afar,MV008283730000,,6/8/16,In Theaters,,Iconic,No Image Available,No Image Available
Blackway,MV008715420000,,6/10/16,In Theaters,,Iconic,Banner,Iconic
Careful What You Wish For,MV007325350000,,6/10/16,In Theaters,,Iconic,Banner,Banner
Diary of a Chambermaid,MV007694150000,,6/10/16,In Theaters,,Iconic,No Image Available,No Image Available
Go With Me,MV008715410000,,6/10/16,In Theaters,,Iconic,No Image Available,No Image Available
King Jack,MV008353710000,,6/10/16,In Theaters,,Iconic,No Image Available,No Image Available
Last Cab to Darwin,MV008032000000,,6/10/16,In Theaters,,Iconic,No Image Available,No Image Available
Now You See Me 2,MV008273790000,,6/10/16,In Theaters,,Iconic,Banner,Banner
Puerto Ricans in Paris,MV008874960000,,6/10/16,In Theaters,,Iconic,Banner,No Image Available
TE3N,MV008950600000,,6/10/16,In Theaters,,Iconic,No Image Available,No Image Available
The Conjuring 2,MV007891250000,,6/10/16,In Theaters,,Iconic,Banner,Banner
Therapy for a Vampire,MV008016330000,,6/10/16,In Theaters,,Iconic,No Image Available,No Image Available
Warcraft,MV007728060000,,6/10/16,In Theaters,,Iconic,Banner,Banner
Warcraft 3D,MV008219250000,,6/10/16,In Theaters,,Iconic,No Image Available,No Image Available
Warcraft: An IMAX 3D Experience,MV007728400000,,6/10/16,In Theaters,,Iconic,No Image Available,No Image Available
Genius,MV008648770000,,6/10/16,In Theaters,,Iconic,Banner,Banner
Tikkun,MV008041820000,,6/10/16,In Theaters,,Iconic,No Image Available,No Image Available
Bang Gang (A Modern Love Story),MV008350970000,,6/17/16,In Theaters,,Iconic,No Image Available,No Image Available
Central Intelligence,MV008290780000,,6/17/16,In Theaters,,Iconic,Banner,No Image Available
Clown,MV007207460000,,6/17/16,In Theaters,,Iconic,Banner,No Image Available
Finding Dory,MV008243920000,,6/17/16,In Theaters,,Iconic,No Image Available,No Image Available
Finding Dory 3D,MV008243980000,,6/17/16,In Theaters,,Iconic,No Image Available,No Image Available
Finding Dory: An IMAX 3D Experience,MV008940550000,,6/17/16,In Theaters,,Iconic,No Image Available,No Image Available
No Stranger Than Love,MV008532340000,,6/17/16,In Theaters,,Iconic,Banner,Dish Logo
Raiders!,MV007334980000,,6/17/16,In Theaters,,Iconic,No Image Available,No Image Available
Raiders!: The Story of the Greatest Fan Film Ever Made,MV008439610000,,6/17/16,In Theaters,,Iconic,No Image Available,No Image Available
The Last Heist,MV008830570000,,6/17/16,In Theaters,,Iconic,Banner,No Image Available
The Last King,MV008839850000,,6/17/16,In Theaters,,Iconic,No Image Available,No Image Available
"My Love, Don't Cross That River",MV007762060000,,6/17/16,In Theaters,,Iconic,No Image Available,No Image Available
River,MV008042190000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
T-Rex,MV007544240000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Breaking a Monster,MV007541470000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Eat That Question: Frank Zappa in His Own Words,MV008716230000,,6/24/16,In Theaters,,Iconic,Banner,No Image Available
Free State of Jones,MV008203880000,,6/24/16,In Theaters,,Iconic,Banner,No Image Available
Garn,MV008962670000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Hunt for the Wilderpeople,MV008648870000,,6/24/16,In Theaters,,Iconic,Banner,No Image Available
Independence Day: Resurgence ,MV006134470000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Independence Day: Resurgence -- An IMAX 3D Experience,MV008295070000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Independence Day: Resurgence 3D,MV008295050000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Intruder,MV008958400000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Les cowboys,MV008105120000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Misconception,MV005683910000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Septembers of Shiraz,MV008074400000,,6/24/16,In Theaters,,Iconic,Banner,Dish Logo
The Call Up,MV008899110000,,6/24/16,In Theaters,,Iconic,Banner,No Image Available
The Duel,MV008844570000,,6/24/16,In Theaters,,Iconic,Banner,Banner
The Kind Words,MV008021310000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
The Neon Demon,MV008813330000,,6/24/16,In Theaters,,Iconic,Banner,No Image Available
The Phenom,MV008785320000,,6/24/16,In Theaters,Dish Logo,Iconic,Banner,Dish Logo
The Shallows,MV008320930000,,6/24/16,In Theaters,,Iconic,Banner,Banner
Vigilante Diaries,MV008920990000,,6/24/16,In Theaters,,Iconic,Banner,No Image Available
Wiener-Dog,MV008841040000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Yarn,MV008962690000,,6/24/16,In Theaters,,Iconic,No Image Available,No Image Available
Swiss Army Man,MV008680780000,,6/24/16,In Theaters,,Iconic,Banner,No Image Available
Buddymoon,MV008851540000,,6/30/16,In Theaters,,Iconic,Banner,Banner
The Sector,MV008962170000,,7/1/16,In Theaters,,Iconic,Banner,No Image Available
The BFG,MV008331500000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
The BFG 3D,MV008331600000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
Carnage Park,MV008957910000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
"Life, Animated",MV008718070000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
Marauders,MV008945910000,,7/1/16,In Theaters,,Iconic,Banner,Banner
Microbe and Gasoline,MV008105200000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
Our Kind of Traitor,MV008775460000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
Roseanne for President!,MV008973870000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
Satanic,MV008950590000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
The Innocents,MV008750540000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
The Legend of Tarzan ,MV006134520000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
The Legend of Tarzan 3D,MV006134530000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
The Legend of Tarzan: An IMAX 3D Experience,MV007506720000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
The Purge: Election Year,MV008321290000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
Sultan,MV008977450000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
How He Fell in Love,MV008962990000,,7/1/16,In Theaters,,Iconic,No Image Available,No Image Available
Captain Fantastic,MV008366590000,,7/8/16,In Theaters,,Iconic,No Image Available,No Image Available
Cell,MV008880140000,,7/8/16,In Theaters,,Iconic,Banner,Iconic
Fathers and Daughters,MV008109950000,,7/8/16,In Theaters,,Iconic,Banner,Iconic - Different from GN
Indian Point,MV007672670000,,7/8/16,In Theaters,,Iconic,No Image Available,No Image Available
Mike and Dave Need Wedding Dates,MV008330420000,,7/8/16,In Theaters,,Iconic,Banner,No Image Available
Norman Lear: Just Another Version of You,MV008649650000,,7/8/16,In Theaters,,Iconic,No Image Available,No Image Available
Our Little Sister,MV008716720000,,7/8/16,In Theaters,,Iconic,No Image Available,No Image Available
The Debt,MV008648720000,,7/8/16,In Theaters,,Iconic,Banner,No Image Available
The Dog Lover ,MV008840280000,,7/8/16,In Theaters,,Iconic,Banner,No Image Available
The Secret Life of Pets ,MV007787490000,,7/8/16,In Theaters,,Iconic,No Image Available,No Image Available
The Secret Life of Pets 3D,MV007787600000,,7/8/16,In Theaters,,Iconic,No Image Available,No Image Available
Zero Days,MV008864460000,,7/8/16,In Theaters,,Iconic,No Image Available,No Image Available
 At the Fork,MV009027930000,,7/8/16,In Theaters,,Iconic,No Image Available,No Image Available
Captain Fantastic ,MV008366590000,,7/8/16,In Theaters,,Iconic,No Image Available,No Image Available
Dirty,MV008976650000,,7/12/16,In Theaters,,Iconic,Banner,No Image Available
The Infiltrator,MV008603730000,,7/13/16,In Theaters,,Iconic,No Image Available,No Image Available
Equals,MV008578160000,,7/15/16,In Theaters,,Iconic,Banner,Iconic
Garnet's Gold,MV005938110000,,7/15/16,In Theaters,,Iconic,No Image Available,No Image Available
C Street,MV009106940000,,7/15/16,In Theaters,,Iconic,Banner,No Image Available
Ghostbusters,MV007145930000,,7/15/16,In Theaters,,Iconic,No Image Available,MY TV Logo
Ghostbusters 3D,MV007919790000,,7/15/16,In Theaters,,Iconic,No Image Available,No Image Available
Ghostbusters: An IMAX 3D Experience,MV008652940000,,7/15/16,In Theaters,,Iconic,No Image Available,No Image Available
Tony Robbins: I Am Not Your Guru,MV008673440000,,7/15/16,In Theaters,,Iconic,No Image Available,No Image Available
Lucha Mexico,MV008883120000,,7/15/16,In Theaters,,Iconic,No Image Available,No Image Available
Outlaws and Angels,MV008945950000,,7/15/16,In Theaters,,Iconic,Banner,Banner
Phantom Boy,MV008619780000,,7/15/16,In Theaters,,Iconic,Banner,No Image Available
Undrafted,MV009012240000,,7/15/16,In Theaters,,Iconic,Banner,No Image Available
Hillary's America: The Secret History of the Democratic Party,MV008944080000,,7/15/16,In Theaters,,Iconic,No Image Available,No Image Available
Caf_ Society,MV008841380000,,7/15/16,In Theaters,,Iconic,No Image Available,No Image Available
I Am JFK Jr.,MV009101010000,,7/20/16,In Theaters,,Iconic,Banner,MY TV Logo
Beta Test ,MV009012730000,,7/22/16,In Theaters,,Iconic,Banner,No Image Available
Busanhaeng,MV009102860000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Don't Worry Baby ,MV008042890000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Fight Valley ,MV008677810000,,7/22/16,In Theaters,,Iconic,Banner,No Image Available
Ice Age: Collision Course,MV007898090000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Ice Age: Collision Course 3D,MV007898120000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
La belle saison,MV008619740000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Lights Out,MV008489110000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Quitters,MV007543740000,,7/22/16,In Theaters,,Iconic,Banner,No Image Available
Star Trek Beyond,MV006957960000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Star Trek Beyond 3D,MV007785860000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Star Trek Beyond: An IMAX 3D Experience,MV008400120000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Summertime,MV008641130000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
The Blackout Experiments ,MV008817290000,,7/22/16,In Theaters,,Iconic,Banner,No Image Available
The Childhood of a Leader ,MV008171340000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
The Seventh Fire ,MV008779260000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Train to Busan ,MV009102870000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Absolutely Fabulous: The Movie,MV008632150000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Don't Think Twice,MV008885090000,,7/22/16,In Theaters,,Iconic,No Image Available,No Image Available
Batman: The Killing Joke,MV009054200000,,7/25/16,In Theaters,,Iconic,Banner,Banner
Assassins,MV008816230000,,7/26/16,In Theaters,,Iconic,Banner,No Image Available
Nerve,MV008701240000,,7/27/16,In Theaters,,Iconic,No Image Available,No Image Available
Lace Crater,MV009126640000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Ants on a Shrimp ,MV009025510000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Bad Moms,MV008694640000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Can We Take a Joke?,MV008247990000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Equity,MV008716990000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Hollywood Beauty Salon,MV009002310000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Into the Forest,MV008426320000,,7/29/16,In Theaters,Dish Logo,Iconic,Banner,Red Dish Logo
Jason Bourne,MV008494650000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
La historia de Orry-Kelly,MV008920710000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Las mujeres que desnud_ ,MV008920700000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Las mujeres que desnud_ (La historia de Orry-Kelly),MV008920690000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Miss Sharon Jones!,MV008598550000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Monkey King: Hero Is Back,MV008035800000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Shelley,MV009071090000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
The Land,MV008910730000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Viral,MV007929280000,,7/29/16,In Theaters,,Iconic,Banner,No Image Available
Women He's Undressed ,MV008920680000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Gleason,MV008367120000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Indignation,MV008768510000,,7/29/16,In Theaters,,Iconic,No Image Available,No Image Available
Odd Squad: The Movie ,MV008999630000,,8/1/16,In Theaters,,Iconic,No Image Available,Iconic
"Olympic Pride, American Prejudice",MV008689940000,,8/5/16,In Theaters,,Iconic,No Image Available,No Image Available
Neither Heaven Nor Earth,MV008704560000,,8/5/16,In Theaters,,Iconic,No Image Available,No Image Available
There Is a New World Somewhere,MV009083380000,,8/5/16,In Theaters,,Iconic,Banner,No Image Available
Bazodee,MV009025600000,,8/5/16,In Theaters,,Iconic,No Image Available,No Image Available
Citizen Soldier ,MV009039330000,,8/5/16,In Theaters,,Iconic,Banner,Dish Logo
Citizen Soldier Birds Eye View ,MV009039320000,,8/5/16,In Theaters,,Iconic,No Image Available,No Image Available
El rey del Once,MV008649270000,,8/5/16,In Theaters,,Iconic,No Image Available,No Image Available
Five Nights in Maine,MV008538130000,,8/5/16,In Theaters,,Iconic,Banner,No Image Available
Let's Be Evil,MV009100200000,,8/5/16,In Theaters,,Iconic,No Image Available,No Image Available
Little Men,MV008750590000,,8/5/16,In Theaters,,Iconic,No Image Available,No Image Available
Nine Lives,MV008197420000,,8/5/16,In Theaters,,Iconic,No Image Available,No Image Available
Richard Linklater: Dream Is Destiny,MV008699860000,,8/5/16,In Theaters,,Iconic,No Image Available,No Image Available
